signature_symbol signature_score signature_direction
ADRB2 -11.8863855598947 Dn
IER3 -11.8114590868154 Dn
ZYX -11.8072860678262 Dn
HBEGF -11.7944122202317 Dn
C10orf55 -11.7719223876611 Dn
FTH1 -11.7486279812527 Dn
CXCL16 -11.7249995948547 Dn
AVEN -11.7041068730304 Dn
SH3RF1 -11.6801571531419 Dn
DAGLA -11.6742282584452 Dn
FNDC4 -11.6685470594474 Dn
NFKBIE -11.661619788376 Dn
EPS8 -11.6594122594301 Dn
PDCD1LG2 -11.6502564325969 Dn
IL1RN -11.644950953536 Dn
LINC01213 -11.6418019197573 Dn
ITCH -11.6410566525027 Dn
PREB -11.6356492620206 Dn
ST6GALNAC2 -11.6302270436026 Dn
GPRC5A -11.6219765843646 Dn
SMIM13 -11.618968536099 Dn
CD274 -11.6072554696963 Dn
RAB30-AS1 -11.6045519415822 Dn
PTPN22 -11.6020339628694 Dn
RPS26 -11.5505112122689 Dn
SNHG17 -11.5412471602252 Dn
ATP8A2 -11.5403486639877 Dn
PSMD6-AS2 -11.5218631178431 Dn
FXYD5 -11.4818109047374 Dn
ST3GAL6-AS1 -11.480463449692 Dn
ME1 -11.4403613843665 Dn
ANXA9 -11.4103259738439 Dn
ARHGDIB -11.3947138585913 Dn
LINC00052 -11.3587073120114 Dn
ACER3 -11.3166850442858 Dn
HOXA2 -11.3120505788286 Dn
BICD2 -11.1930812777196 Dn
BVES -11.1922547841345 Dn
SLC30A6 -11.1618349559436 Dn
HIST1H2BB -11.1553033545826 Dn
NFRKB -11.1525045512045 Dn
JUN -11.1463422554749 Dn
LAPTM5 -11.1416446129614 Dn
BOK -11.104249000625 Dn
TFAP2A-AS1 -11.1021599744185 Dn
MRPL1 -11.0913094764787 Dn
PLEKHF1 -11.0812065635781 Dn
PLAC8 -11.0718107561607 Dn
MAP4K4 -11.0661357049782 Dn
CDH2 -11.0544039990331 Dn
FJX1 -11.0531544378794 Dn
NFE2L3 -11.0375414945555 Dn
BTG3 -11.008099418628 Dn
SERPINB9 -10.9925133950381 Dn
IL4R -10.9879484361037 Dn
ADRA1B -10.9737240949321 Dn
ANTXR2 -10.9639465657345 Dn
HSD11B2 -10.957081228421 Dn
AGTR1 -10.9495234941595 Dn
TRAF5 -10.941843109973 Dn
THBS1 -10.9404927206671 Dn
ARL14 -10.9259866328944 Dn
MMP9 -10.9194898796694 Dn
MAP3K9 -10.9161139713 Dn
TP53I3 -10.9129590142761 Dn
CXCL11 -10.9031885639453 Dn
TRIM27 -10.8743286495488 Dn
MAP3K14 -10.8670790705277 Dn
MT1L -10.8457373606862 Dn
HAS2-AS1 -10.8449066406853 Dn
KHK -10.8088396787282 Dn
TMEM45B -10.7884272614296 Dn
SEPT7 -10.782532876049 Dn
CNN2 -10.7759120341733 Dn
NOCT -10.7488833430815 Dn
ANXA8 -10.7442125381509 Dn
FUCA1 -10.7402187264045 Dn
RALGPS2 -10.6980713039879 Dn
DLK2 -10.6979165033715 Dn
NIPAL1 -10.6799185154835 Dn
CLDN23 -10.6611564968298 Dn
C15orf41 -10.6534920352103 Dn
GDA -10.650019364547 Dn
SLC22A20 -10.6334250939366 Dn
NRCAM -10.6201959116974 Dn
SHC4 -10.5623777097539 Dn
ARRB2 -10.5462221166872 Dn
SLC12A4 -10.5411845118147 Dn
BSPRY -10.5018853545876 Dn
PPARG -10.4842667342117 Dn
FRMD6 -10.4756988656548 Dn
EPGN -10.4647954453043 Dn
CORO1A -10.4591517540638 Dn
FOXF2 -10.4481709417937 Dn
HSPA8 -10.4381331967062 Dn
LXN -10.401710579805 Dn
CD44 -10.3744231259368 Dn
RAB18 -10.3647236164193 Dn
TMPRSS11E -10.3574455845792 Dn
GRAMD3 -10.3422798276878 Dn
CAT -10.3363437365739 Dn
TXNRD1 -10.3347905018529 Dn
ZPR1 -10.3187700130812 Dn
MUS81 -10.3182581539694 Dn
EPN3 -10.3133325650274 Dn
PLXNA3 -10.3086446489854 Dn
GBP3 -10.307443057673 Dn
RIMKLB -10.2998122513988 Dn
ARMCX3 -10.2929591177028 Dn
MANSC4 -10.2896714776001 Dn
CD59 -10.2882158916405 Dn
NEDD4 -10.2779510675455 Dn
TM4SF1 -10.2597430166077 Dn
FAM98A -10.2452917439675 Dn
RPP40 -10.2288729038741 Dn
CDH1 -10.2286806042666 Dn
TMEM117 -10.2263847951375 Dn
SERPINB6 -10.2214597963333 Dn
ASAP2 -10.2193581767649 Dn
ERRFI1 -10.2053552266766 Dn
ARID3B -10.2030175683365 Dn
PRDM8 -10.1964203900137 Dn
COL27A1 -10.1918497349874 Dn
TTC27 -10.1748722845394 Dn
EREG -10.1602257724658 Dn
MPHOSPH6 -10.138174955322 Dn
BGN 50.7908781599875 Up
PTPRO 48.3296483105087 Up
PDE3A 42.7589247662611 Up
FDCSP 39.8584410941871 Up
IFI44L 35.8528367209877 Up
TNFAIP6 34.4766068164492 Up
EPB41L4A 32.3400439376188 Up
OAS2 31.9703010755751 Up
METTL7A 31.5614458801687 Up
SP8 30.664543999499 Up
ST8SIA4 30.4847536425576 Up
PLXDC2 29.6583491974526 Up
EGR1 29.5558153765118 Up
TP63 29.2085160848469 Up
IL13RA2 28.9189829816163 Up
APCDD1L 28.5191054674985 Up
KRT14 27.6756344061067 Up
FOXO1 27.536808855099 Up
CPM 27.4622449015958 Up
DPYD 27.0391125801343 Up
CHRNA9 26.8876982155661 Up
DDX60 25.918204955401 Up
PDE8B 25.8823002842763 Up
P3H2 25.6033888016622 Up
SMOC1 25.2412941317885 Up
IFI6 24.5206368467756 Up
C1S 24.3349334346771 Up
SDC2 24.2227778402863 Up
SPINK6 24.2042336986531 Up
DCBLD1 24.1524756839409 Up
XAF1 23.9850525332344 Up
PDE7B 23.831970442124 Up
AARD 23.6112564494423 Up
IFI44 23.6045324565909 Up
HTRA1 23.5325645347647 Up
NID1 23.4211800071417 Up
MAPK4 23.1710094829336 Up
TMEM45A 23.1388323978051 Up
LINC01139 23.0863718154463 Up
FGF2 23.0540772476133 Up
GPC6 22.770607981721 Up
ADGRL2 22.7213455016797 Up
SEMA3C 21.8643345536016 Up
CYP4F22 21.8581144303143 Up
CAMK2D 21.6967878530701 Up
APCDD1L-AS1 21.0550175254148 Up
CHRM3 20.7434625154591 Up
DNER 20.5736034629627 Up
TRPS1 20.3309407305378 Up
KCNJ15 19.981380258508 Up
PDCD4 19.8662608897987 Up
TENM3 19.7775189617682 Up
MAP2K6 19.6804683407509 Up
STEAP2 19.5974356971709 Up
MCAM 19.3723863250871 Up
UST 19.3285431061477 Up
SEL1L3 19.3076405920693 Up
SPINK13 19.1521521465542 Up
MGP 19.0107533133247 Up
MSI2 19.0077827542567 Up
PRLR 18.6986598766645 Up
KRT17P2 18.5361072117294 Up
ROS1 18.5313674400575 Up
KYNU 18.356869888734 Up
HIST1H1D 18.2827409394789 Up
FGFBP1 18.2715522174409 Up
BCL6 18.1220425471264 Up
VCAN 17.9822373156921 Up
SPTLC3 17.9690841839122 Up
ZC3H6 17.962270145143 Up
C1R 17.9293471392791 Up
MFSD2A 17.6789300083991 Up
PDZD2 17.6283641043047 Up
GAREM1 17.618999464759 Up
PDE10A 17.6060600820355 Up
TLL1 17.5881797748434 Up
SBSPON 17.5396348958624 Up
ALX4 17.4927792492464 Up
MSLN 17.4292643057276 Up
ZMYM3 17.3222814694786 Up
NAV2-AS1 17.2247010564731 Up
ADAMTS4 17.2195695531697 Up
RGS7 16.9648881803078 Up
