signature_symbol signature_score signature_direction
GAREM1 21.8419422859491 Up
CYP1B1 21.8347565994548 Up
CASP14 21.7713860883206 Up
TNFAIP6 21.2940757575206 Up
ANGPT1 21.2190036633371 Up
MAPK4 21.0410602278266 Up
OMD 20.3780526596479 Up
CHRNA9 19.4513149373161 Up
BGN 19.1927124094848 Up
SNAI1 19.1917459983077 Up
FOXO1 19.0541490644529 Up
IL33 18.7620228234575 Up
FOXI1 18.3130983826637 Up
TCP11L2 17.7825240340175 Up
PLXDC2 17.3957728504741 Up
ITGA1 17.1666941585791 Up
VCAN 17.1615219367455 Up
HTRA1 16.6525877473208 Up
KLF9 16.4216961312971 Up
IRX3 16.1446553148039 Up
KRT10 15.7546341116237 Up
PDCD4 15.7481905043937 Up
RORB 15.6883815296892 Up
RAB31 15.4424251180849 Up
PDE7B 15.3644415273585 Up
ABCA1 15.2392740675405 Up
EPB41L4A 15.2388556258169 Up
SP8 15.1422816215336 Up
TREM1 15.0770805613276 Up
MAP2K6 15.046141323385 Up
CBLB 14.4607530040174 Up
NUPR1 14.4304677294302 Up
RNA5SP99 14.3051073124556 Up
LXN 14.2014094117165 Up
APCDD1L 14.0194224686447 Up
TSPAN18 13.9938303467896 Up
RNA5SP399 13.8862506152013 Up
PHF20 13.8218075706199 Up
C5AR2 13.8170428330279 Up
THRA 13.623602807342 Up
MOCOS 13.6047880654235 Up
PTPRS 13.4781767520674 Up
STOM 13.4729808489738 Up
MLLT3 13.3851437904009 Up
SPTLC3 13.3547769931816 Up
DCBLD1 13.3513452053041 Up
MYLIP 13.2881943222419 Up
CATSPER2P1 13.2774764224334 Up
FBP1 13.2315743101492 Up
PID1 13.2127891207174 Up
CYP4X1 13.1819169023699 Up
FKBP5 13.1560966209129 Up
ID4 13.1389731208486 Up
LINC01220 13.098083405935 Up
CCNG2 13.0578597174242 Up
MCF2 13.0223196804267 Up
SMOC1 12.9624060003048 Up
DSG3 12.9376244848917 Up
ATP6V0D2 12.8804624128538 Up
NID1 12.8610297880433 Up
NOV 12.8530403891659 Up
FRAT2 12.8388032642643 Up
TFCP2L1 12.6231314701446 Up
PTGS2 12.4304371548181 Up
TKFC 12.4077579933401 Up
ID1 12.3857206686367 Up
PRSS12 12.3822214293541 Up
LYPD8 12.3126370504331 Up
DDIT4 12.2324215340543 Up
SCARA5 12.1997320877566 Up
ACPP 12.0512843858563 Up
KYNU 12.0424978586284 Up
LTBP1 11.9149928976634 Up
ADCK4 11.8304230895775 Up
PSAT1 11.784751814097 Up
TMEM45A 11.7844970741813 Up
FLRT3 11.7553654680941 Up
NFIL3 11.7098487493571 Up
DNER 11.6565439659835 Up
ADAMTS4 11.6548301849107 Up
SYCE2 11.5438215125196 Up
FBXL20 11.4496135471412 Up
BTBD2 11.4105609127795 Up
LPCAT3 11.328123952943 Up
MAP3K5 11.3095539405922 Up
LINC01137 11.3016294710301 Up
PELI1 11.2841191226716 Up
FBN1 11.2590166622258 Up
GXYLT2 11.225988935354 Up
CD70 11.1541033452216 Up
DLX3 11.1419093155255 Up
ADA 11.0435767920497 Up
SERPINE2 11.036688911908 Up
MYO9A 10.9785386603294 Up
GAA 10.8841930453527 Up
CEBPB 10.8525371821006 Up
TCFL5 10.8494606170419 Up
MEFV 10.7858200938436 Up
ARRDC3 10.6900723987797 Up
IMPACT 10.6884490680801 Up
SDC2 10.6789610944774 Up
PCSK1 10.6586532577247 Up
FAM71E1 10.5495031755426 Up
IL20RB 10.49006954928 Up
STC1 10.4695983535434 Up
PTPRJ 10.4552499109913 Up
STRA6 10.3950979295843 Up
DCAKD 10.3814868067805 Up
PLSCR4 10.3711499296022 Up
GPHN 10.3660045323105 Up
IGF1R 10.3252886661312 Up
PXK 10.2924670568219 Up
DIXDC1 10.2366451360476 Up
