signature_symbol signature_score signature_direction
KLF11 7.45121712286812 up
BVES 7.74206359762898 up
ZNF765 8.04466472619962 up
IL1RN 7.06245516650126 up
SLC17A5 11.529457823155 up
TMEM45A 6.91140976372933 up
LOC100507459 5.85293700415744 up
IL20RB 13.8472280809101 up
TGFB1I1 13.0916731890313 up
FOXD4 8.53084684404934 up
SLC43A1 7.47029598589193 up
MGAT4B 9.87080078366516 up
FBN1 9.50391993943069 up
THNSL1 9.47144566356443 up
CRIP1 6.58392799718801 up
FLJ42627 8.1708419747598 up
SLC35F3 11.3287368134011 up
NMRK1 6.11429245606625 up
THBD 17.6993797074754 up
PLA2G4C 5.70638387315259 up
CTSO 9.87167581386835 up
SERPINE2 14.4941837249819 up
TPK1 8.23298328480924 up
FUT3 9.34594655068944 up
NGF 9.50802245438863 up
MSC 11.072514616244 up
BACH2 11.3975617554055 up
LOC100131096 6.37228764116401 up
RBM26-AS1 7.2809855198492 up
CTF1 7.72768916558756 up
PYCR1 7.78616781832854 up
ULBP1 12.4073335889421 up
LOC100996528 7.45481318378952 up
ZNF643 7.92337127988346 up
GAB2 10.8261874328345 up
LOC100506377 6.16042371899434 up
MAP1LC3B 6.61572576588495 up
SRPX 12.1641320028907 up
ITPR3 10.7281843474042 up
CCDC122 7.6486919530973 up
KCTD15 11.4349576940483 up
LOC100132891 6.41313506032594 up
RFTN1 9.20420696347103 up
HMOX1 8.32733373602234 up
TRIB3 15.1809087305662 up
GRB10 12.3503149844261 up
LTBP1 8.1064904731893 up
SESN2 20.3859080585098 up
TPP1 13.0959903734302 up
PORCN 9.34690900003528 up
COMMD3 7.15479852344148 up
SLC1A4 11.5939174649255 up
LOC100506963 11.8398175183969 up
FYN 7.02722716298948 up
FAM70B 10.2961826006967 up
OCLN 7.08590853761354 up
CADM1 5.53285004402642 up
KLHL24 13.5913253186287 up
LOC100288842 11.2563623360398 up
SLC6A9 14.0173840615999 up
CD274 9.73084562797685 up
SLC22A4 7.97290029010067 up
MIR421 12.5030257707044 up
MIR27B 6.06197294062583 up
IL6ST 10.633640768935 up
C9orf91 9.47777278133869 up
TLCD2 6.81701843594851 up
SLC13A3 6.80028299528791 up
LOC100506870 6.73106950001656 up
PKN1 9.69366925961922 up
IL23A 7.38296509502362 up
CPNE7 8.63821146086668 up
LONRF1 8.75633968677 up
PGPEP1 10.9961609182536 up
GOLGA8B 10.7396551265622 up
CPT1A 14.5283387011443 up
ZMIZ2 12.0337226852758 up
MIR222 9.30712514923478 up
ZNF841 12.1105837123621 up
GJB2 11.9757957839659 up
C11orf1 12.1496051060649 up
ATP2B1 13.4162540446523 up
MORN4 12.5592566989732 up
ZNF320 5.65024440101498 up
EPB41L4A 10.2546762378372 up
SLC9B2 13.299991027374 up
CCDC163P 11.308540674586 up
MYADM 8.04306782634946 up
HOXB9 9.95705587547564 up
H1F0 9.52597945350774 up
NCR3LG1 12.5070675389385 up
ZDHHC2 16.9296646917614 up
ADAMTSL5 9.394437579357 up
LOC100129033 6.94032095213978 up
METRNL 7.56876888322404 up
GNG5 9.80662874471629 up
SAMD12-AS1 9.01707817288527 up
RNASE7 14.9354080550582 up
SWI5 11.404902677179 up
LAMP3 27.3837541661275 up
TMEM192 7.64489538154686 up
CYP1A1 8.70024953976606 up
DOCK11 12.16300946774 up
LOC100996660 6.47899410108198 up
TRNP1 10.2576375863573 up
C4orf32 8.98090198445019 up
LRRK1 11.5316704789746 up
STAT5A 7.4665046368914 up
RAB27B 9.02813511159375 up
ADAM12 12.6207983468548 up
FUT2 7.51821907863146 up
MIR24-2 10.0158935710856 up
DNAJB9 8.58544026641465 up
LONRF3 11.0326650655105 up
TPRA1 12.3912348326661 up
ZP3 8.77271705000402 up
LOC389641 9.02890298791693 up
KLHL5 16.139621158666 up
LACC1 16.6786525769465 up
UBQLN4 11.1433240835873 up
AMTN 6.70885524846034 up
ERN1 12.8717794796776 up
RIOK2 8.63489268174614 up
LOC84856 13.4057055988947 up
LURAP1L 19.183726277121 up
MIR196B 6.69007863283488 up
LIN37 10.6722932120479 up
TOB2P1 7.11655767568616 up
LHFPL2 21.1579846481501 up
CDC42EP2 10.4607449364074 up
SLC10A3 9.73003621534749 up
ARHGEF19 10.1114372158148 up
DDIT3 8.14418803003489 up
TMEM156 19.7597323041836 up
ZNF252P 12.2344591736932 up
PPAPDC1B 11.5383046202631 up
WFDC2 7.46876689343615 up
CYSTM1 13.5958461065124 up
METTL21B 9.41178237028159 up
CHAC1 17.4877193303176 up
LARP1B 8.48474251610673 up
ZNF598 8.57166166921453 up
TPCN1 8.54396201764197 up
SLC41A2 11.5953155697583 up
BHLHA15 11.6838109132582 up
STYXL1 11.9444981359994 up
LOC100506054 11.9572604202605 up
TBL1X 22.7106432648779 up
IRS2 13.0048265319111 up
MTSS1 10.2686341726132 up
FKBP11 11.2214181369694 up
CTSS 16.4875664950145 up
SHISA2 12.5388402124169 up
DPP7 12.7670519231478 up
PLEKHF1 8.42743528857195 up
FOXRED2 12.6331227035591 up
VAT1 12.5673045105166 up
C1S 14.7072498695267 up
ERV3-1 11.8688969337208 up
LOC100507449 14.2842981300672 up
LOC729987 9.0520583372751 up
XBP1 14.0421234491015 up
PITPNC1 8.90011870193839 up
FAM171A1 12.5024382577556 up
NPAS2 15.742838952122 up
ALDH1A3 11.4674899288021 up
MMP3 14.1800791717542 up
SEC11C 9.6892192328695 up
C8orf40 12.0055752638044 up
KIF1C 12.3109038778128 up
LOC728463 8.330985627222 up
PIWIL4 12.066790812233 up
CYP24A1 8.00781768896824 up
MMP9 10.4926029324538 up
NFKBIB 9.03014628285257 up
FGFR1 9.23963118296865 up
PRMT8 9.62407092002405 up
SRPRB 11.8354820442036 up
SLC2A3 7.09615612996227 up
KMO 12.5709034769617 up
NFIL3 12.4883832249988 up
LOC388796 9.74635166379744 up
CD55 17.6956356731684 up
LOC100507376 7.48476090294478 up
SERP1 10.797967474241 up
TMEM205 9.69643076220756 up
GALNT9 11.9965658951032 up
CDR1 16.9827794609627 up
DLGAP1-AS2 10.1900900753572 up
SELM 7.7170458869007 up
C6orf48 13.9910497108508 up
FAM101B 10.8483715041098 up
P4HA2 14.4485295865588 up
PDGFB 9.92003969801407 up
TLE4 10.204452499092 up
CYP1B1 14.6865071930976 up
BMP4 8.11791976934287 up
TSPYL2 13.4051718645867 up
PDE5A 23.7943342494006 up
C12orf44 11.1891837783105 up
CLDN7 11.7930028163775 up
ALOXE3 13.2402151418724 up
MIR23A 9.41833975876211 up
HHLA3 20.5840089750575 up
SLC39A8 12.2799152280986 up
TGFB2 11.8078272401746 up
BLVRB 13.5398406428223 up
C19orf10 9.91442254709336 up
CPEB2 17.7730755522802 up
ARHGAP42 13.111787240668 up
HERPUD1 17.0771737902659 up
LINC00520 13.8734648269707 up
IL32 13.2301571385142 up
GATA6 11.3929782427471 up
IL24 19.1655103952144 up
MMP15 12.5973614674368 up
RIN3 7.92556687450921 up
SLC25A45 12.0990475754669 up
FRAS1 13.8842983562506 up
LCN2 16.0020754821802 up
LOC652276 11.4403850143261 up
CDH4 12.5690263914282 up
MUC1 8.92067304015516 up
STC2 18.5782788155391 up
KYNU 20.0006335573938 up
CDC42EP1 12.6699328769499 up
PMEPA1 15.9266869959858 up
MIR22HG 13.5688726618453 up
FAM86EP 13.4794899531134 up
NNMT 16.6590549985089 up
WIPI1 17.7110581676284 up
PLAUR 18.2831829740665 up
SDR16C5 16.8416661914286 up
IL1RL1 14.3857151054959 up
BIRC3 10.1752434625929 up
NTN4 15.6610978272133 up
ERVMER34-1 14.4061333400958 up
SLAMF7 18.7086623711316 up
PAPPA 23.0271393221926 up
AGR2 11.9270513234956 up
BMPER 11.6238088074378 up
ANKRD1 16.3235212715706 up
FGF2 20.44629094695 up
IRF9 9.92695144237637 up
LOC100506190 15.2392013578011 up
SLPI 16.9384459420425 up
EPAS1 12.5760167247793 up
MIR27A 16.8281077226707 up
CXCL16 14.1065623709431 up
NSAP11 10.4396784844766 up
INHBB 18.0760617225446 up
CLDN1 16.4634359545165 up
KAL1 22.3066973387724 up
GPRC5B 18.2140576341265 up
C17orf51 16.3007531894725 up
TTTY16 21.7417992131916 up
C3 15.1565383124813 up
GULP1 24.1884595619493 up
OLR1 9.98968387478965 up
FLJ22447 20.1609313094314 up
